Date,Slot,Festival,Visitors
2020-01-01,00-03,,3000
2020-01-01,03-06,,3000
2020-01-01,06-09,,12000
2020-01-01,09-12,,15000
2020-01-01,12-15,,9000
2020-01-01,15-18,,6000
2020-01-01,18-21,,9000
2020-01-01,21-24,,3000
2020-01-02,00-03,,3000
2020-01-02,03-06,,3000
2020-01-02,06-09,,12000
2020-01-02,09-12,,15000
2020-01-02,12-15,,9000
2020-01-02,15-18,,6000
2020-01-02,18-21,,9000
2020-01-02,21-24,,3000
2020-01-03,00-03,,3000
2020-01-03,03-06,,3000
2020-01-03,06-09,,12000
2020-01-03,09-12,,15000
2020-01-03,12-15,,9000
2020-01-03,15-18,,6000
2020-01-03,18-21,,9000
2020-01-03,21-24,,3000
2020-01-04,00-03,,3750
2020-01-04,03-06,,3750
2020-01-04,06-09,,15000
2020-01-04,09-12,,18750
2020-01-04,12-15,,11250
2020-01-04,15-18,,7500
2020-01-04,18-21,,11250
2020-01-04,21-24,,3750
2020-01-05,00-03,,3750
2020-01-05,03-06,,3750
2020-01-05,06-09,,15000
2020-01-05,09-12,,18750
2020-01-05,12-15,,11250
2020-01-05,15-18,,7500
2020-01-05,18-21,,11250
2020-01-05,21-24,,3750
2020-01-06,00-03,,3000
2020-01-06,03-06,,3000
2020-01-06,06-09,,12000
2020-01-06,09-12,,15000
2020-01-06,12-15,,9000
2020-01-06,15-18,,6000
2020-01-06,18-21,,9000
2020-01-06,21-24,,3000
2020-01-07,00-03,,3000
2020-01-07,03-06,,3000
2020-01-07,06-09,,12000
2020-01-07,09-12,,15000
2020-01-07,12-15,,9000
2020-01-07,15-18,,6000
2020-01-07,18-21,,9000
2020-01-07,21-24,,3000
2020-01-08,00-03,,3000
2020-01-08,03-06,,3000
2020-01-08,06-09,,12000
2020-01-08,09-12,,15000
2020-01-08,12-15,,9000
2020-01-08,15-18,,6000
2020-01-08,18-21,,9000
2020-01-08,21-24,,3000
2020-01-09,00-03,,3000
2020-01-09,03-06,,3000
2020-01-09,06-09,,12000
2020-01-09,09-12,,15000
2020-01-09,12-15,,9000
2020-01-09,15-18,,6000
2020-01-09,18-21,,9000
2020-01-09,21-24,,3000
2020-01-10,00-03,,3000
2020-01-10,03-06,,3000
2020-01-10,06-09,,12000
2020-01-10,09-12,,15000
2020-01-10,12-15,,9000
2020-01-10,15-18,,6000
2020-01-10,18-21,,9000
2020-01-10,21-24,,3000
2020-01-11,00-03,,3750
2020-01-11,03-06,,3750
2020-01-11,06-09,,15000
2020-01-11,09-12,,18750
2020-01-11,12-15,,11250
2020-01-11,15-18,,7500
2020-01-11,18-21,,11250
2020-01-11,21-24,,3750
2020-01-12,00-03,,3750
2020-01-12,03-06,,3750
2020-01-12,06-09,,15000
2020-01-12,09-12,,18750
2020-01-12,12-15,,11250
2020-01-12,15-18,,7500
2020-01-12,18-21,,11250
2020-01-12,21-24,,3750
2020-01-13,00-03,,3000
2020-01-13,03-06,,3000
2020-01-13,06-09,,12000
2020-01-13,09-12,,15000
2020-01-13,12-15,,9000
2020-01-13,15-18,,6000
2020-01-13,18-21,,9000
2020-01-13,21-24,,3000
2020-01-14,00-03,,3000
2020-01-14,03-06,,3000
2020-01-14,06-09,,12000
2020-01-14,09-12,,15000
2020-01-14,12-15,,9000
2020-01-14,15-18,,6000
2020-01-14,18-21,,9000
2020-01-14,21-24,,3000
2020-01-15,00-03,Uttarayan / Makar Sankranti / Dhanurmas Ends,3000
2020-01-15,03-06,Uttarayan / Makar Sankranti / Dhanurmas Ends,3000
2020-01-15,06-09,Uttarayan / Makar Sankranti / Dhanurmas Ends,12000
2020-01-15,09-12,Uttarayan / Makar Sankranti / Dhanurmas Ends,15000
2020-01-15,12-15,Uttarayan / Makar Sankranti / Dhanurmas Ends,9000
2020-01-15,15-18,Uttarayan / Makar Sankranti / Dhanurmas Ends,6000
2020-01-15,18-21,Uttarayan / Makar Sankranti / Dhanurmas Ends,9000
2020-01-15,21-24,Uttarayan / Makar Sankranti / Dhanurmas Ends,3000
2020-01-16,00-03,,3000
2020-01-16,03-06,,3000
2020-01-16,06-09,,12000
2020-01-16,09-12,,15000
2020-01-16,12-15,,9000
2020-01-16,15-18,,6000
2020-01-16,18-21,,9000
2020-01-16,21-24,,3000
2020-01-17,00-03,,3000
2020-01-17,03-06,,3000
2020-01-17,06-09,,12000
2020-01-17,09-12,,15000
2020-01-17,12-15,,9000
2020-01-17,15-18,,6000
2020-01-17,18-21,,9000
2020-01-17,21-24,,3000
2020-01-18,00-03,,3750
2020-01-18,03-06,,3750
2020-01-18,06-09,,15000
2020-01-18,09-12,,18750
2020-01-18,12-15,,11250
2020-01-18,15-18,,7500
2020-01-18,18-21,,11250
2020-01-18,21-24,,3750
2020-01-19,00-03,,3750
