Date,Slot,Estimated_Wait_Time_Min,Estimated_Queue_Length,Zone,Zone_Density,Risk_Level,Arrival_Rate_Per_Hour,Temple_Capacity_Utilization_%
2020-01-01,00-03,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-01,03-06,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-01,06-09,13,4200,Holding Area,Critical,CRITICAL,4000,24.0
2020-01-01,09-12,15,5250,Darshan Queue,Critical,CRITICAL,5000,30.0
2020-01-01,12-15,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-01,15-18,9,2100,Exit Corridor,Critical,CRITICAL,2000,12.0
2020-01-01,18-21,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-01,21-24,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-02,00-03,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-02,03-06,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-02,06-09,13,4200,Darshan Queue,Critical,CRITICAL,4000,24.0
2020-01-02,09-12,15,5250,Garbh Griha Zone,Critical,CRITICAL,5000,30.0
2020-01-02,12-15,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-02,15-18,9,2100,Parking Area,Critical,CRITICAL,2000,12.0
2020-01-02,18-21,11,3150,Entry Gate,Critical,CRITICAL,3000,18.0
2020-01-02,21-24,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-03,00-03,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-03,03-06,7,1050,Darshan Queue,High,HIGH,1000,6.0
2020-01-03,06-09,13,4200,Garbh Griha Zone,Critical,CRITICAL,4000,24.0
2020-01-03,09-12,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-03,12-15,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-03,15-18,9,2100,Entry Gate,Critical,CRITICAL,2000,12.0
2020-01-03,18-21,11,3150,Security Check,Critical,CRITICAL,3000,18.0
2020-01-03,21-24,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-04,00-03,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-04,03-06,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-04,06-09,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-04,09-12,18,6562,Parking Area,Critical,CRITICAL,6250,37.5
2020-01-04,12-15,12,3937,Entry Gate,Critical,CRITICAL,3750,22.5
2020-01-04,15-18,10,2625,Security Check,Critical,CRITICAL,2500,15.0
2020-01-04,18-21,12,3937,Holding Area,Critical,CRITICAL,3750,22.5
2020-01-04,21-24,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-05,00-03,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-05,03-06,8,1312,Exit Corridor,High,HIGH,1250,7.5
2020-01-05,06-09,15,5250,Parking Area,Critical,CRITICAL,5000,30.0
2020-01-05,09-12,18,6562,Entry Gate,Critical,CRITICAL,6250,37.5
2020-01-05,12-15,12,3937,Security Check,Critical,CRITICAL,3750,22.5
2020-01-05,15-18,10,2625,Holding Area,Critical,CRITICAL,2500,15.0
2020-01-05,18-21,12,3937,Darshan Queue,Critical,CRITICAL,3750,22.5
2020-01-05,21-24,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-06,00-03,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-06,03-06,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-06,06-09,13,4200,Entry Gate,Critical,CRITICAL,4000,24.0
2020-01-06,09-12,15,5250,Security Check,Critical,CRITICAL,5000,30.0
2020-01-06,12-15,11,3150,Holding Area,Critical,CRITICAL,3000,18.0
2020-01-06,15-18,9,2100,Darshan Queue,Critical,CRITICAL,2000,12.0
2020-01-06,18-21,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-06,21-24,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-07,00-03,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-07,03-06,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-07,06-09,13,4200,Security Check,Critical,CRITICAL,4000,24.0
2020-01-07,09-12,15,5250,Holding Area,Critical,CRITICAL,5000,30.0
2020-01-07,12-15,11,3150,Darshan Queue,Critical,CRITICAL,3000,18.0
2020-01-07,15-18,9,2100,Garbh Griha Zone,Critical,CRITICAL,2000,12.0
2020-01-07,18-21,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-07,21-24,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-08,00-03,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-08,03-06,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-08,06-09,13,4200,Holding Area,Critical,CRITICAL,4000,24.0
2020-01-08,09-12,15,5250,Darshan Queue,Critical,CRITICAL,5000,30.0
2020-01-08,12-15,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-08,15-18,9,2100,Exit Corridor,Critical,CRITICAL,2000,12.0
2020-01-08,18-21,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-08,21-24,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-09,00-03,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-09,03-06,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-09,06-09,13,4200,Darshan Queue,Critical,CRITICAL,4000,24.0
2020-01-09,09-12,15,5250,Garbh Griha Zone,Critical,CRITICAL,5000,30.0
2020-01-09,12-15,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-09,15-18,9,2100,Parking Area,Critical,CRITICAL,2000,12.0
2020-01-09,18-21,11,3150,Entry Gate,Critical,CRITICAL,3000,18.0
2020-01-09,21-24,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-10,00-03,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-10,03-06,7,1050,Darshan Queue,High,HIGH,1000,6.0
2020-01-10,06-09,13,4200,Garbh Griha Zone,Critical,CRITICAL,4000,24.0
2020-01-10,09-12,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-10,12-15,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-10,15-18,9,2100,Entry Gate,Critical,CRITICAL,2000,12.0
2020-01-10,18-21,11,3150,Security Check,Critical,CRITICAL,3000,18.0
2020-01-10,21-24,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-11,00-03,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-11,03-06,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-11,06-09,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-11,09-12,18,6562,Parking Area,Critical,CRITICAL,6250,37.5
2020-01-11,12-15,12,3937,Entry Gate,Critical,CRITICAL,3750,22.5
2020-01-11,15-18,10,2625,Security Check,Critical,CRITICAL,2500,15.0
2020-01-11,18-21,12,3937,Holding Area,Critical,CRITICAL,3750,22.5
2020-01-11,21-24,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-12,00-03,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-12,03-06,8,1312,Exit Corridor,High,HIGH,1250,7.5
2020-01-12,06-09,15,5250,Parking Area,Critical,CRITICAL,5000,30.0
2020-01-12,09-12,18,6562,Entry Gate,Critical,CRITICAL,6250,37.5
2020-01-12,12-15,12,3937,Security Check,Critical,CRITICAL,3750,22.5
2020-01-12,15-18,10,2625,Holding Area,Critical,CRITICAL,2500,15.0
2020-01-12,18-21,12,3937,Darshan Queue,Critical,CRITICAL,3750,22.5
2020-01-12,21-24,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-13,00-03,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-13,03-06,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-13,06-09,13,4200,Entry Gate,Critical,CRITICAL,4000,24.0
2020-01-13,09-12,15,5250,Security Check,Critical,CRITICAL,5000,30.0
2020-01-13,12-15,11,3150,Holding Area,Critical,CRITICAL,3000,18.0
2020-01-13,15-18,9,2100,Darshan Queue,Critical,CRITICAL,2000,12.0
2020-01-13,18-21,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-13,21-24,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-14,00-03,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-14,03-06,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-14,06-09,13,4200,Security Check,Critical,CRITICAL,4000,24.0
2020-01-14,09-12,15,5250,Holding Area,Critical,CRITICAL,5000,30.0
2020-01-14,12-15,11,3150,Darshan Queue,Critical,CRITICAL,3000,18.0
2020-01-14,15-18,9,2100,Garbh Griha Zone,Critical,CRITICAL,2000,12.0
